"GroupCode","Company","AccidentYear","DevelopmentYear","Lag","CumulativeIncurred","CumulativePaid","IBNR","DirectEP","CededEP","NetEP","Single","Reserve1997"
7080,"New Jersey Manufacturers Grp",1988,1988,1,167087,41821,65633,196319,607,195712,0,1090093
7080,"New Jersey Manufacturers Grp",1988,1989,2,166976,76550,42901,196319,607,195712,0,1090093
7080,"New Jersey Manufacturers Grp",1988,1990,3,166458,96697,16353,196319,607,195712,0,1090093
7080,"New Jersey Manufacturers Grp",1988,1991,4,170327,112662,10768,196319,607,195712,0,1090093
7080,"New Jersey Manufacturers Grp",1988,1992,5,178065,123947,14688,196319,607,195712,0,1090093
7080,"New Jersey Manufacturers Grp",1988,1993,6,179126,129871,17290,196319,607,195712,0,1090093
7080,"New Jersey Manufacturers Grp",1988,1994,7,175786,134646,18177,196319,607,195712,0,1090093
7080,"New Jersey Manufacturers Grp",1988,1995,8,176194,138388,16365,196319,607,195712,0,1090093
7080,"New Jersey Manufacturers Grp",1988,1996,9,178076,141823,15521,196319,607,195712,0,1090093
7080,"New Jersey Manufacturers Grp",1988,1997,10,178967,144781,15214,196319,607,195712,0,1090093
7080,"New Jersey Manufacturers Grp",1989,1989,1,179470,48167,77352,212876,682,212194,0,1090093
7080,"New Jersey Manufacturers Grp",1989,1990,2,185511,87662,39979,212876,682,212194,0,1090093
7080,"New Jersey Manufacturers Grp",1989,1991,3,190758,112106,20543,212876,682,212194,0,1090093
7080,"New Jersey Manufacturers Grp",1989,1992,4,202576,130284,22648,212876,682,212194,0,1090093
7080,"New Jersey Manufacturers Grp",1989,1993,5,204649,141124,23882,212876,682,212194,0,1090093
7080,"New Jersey Manufacturers Grp",1989,1994,6,201686,148503,23849,212876,682,212194,0,1090093
7080,"New Jersey Manufacturers Grp",1989,1995,7,202141,154186,21043,212876,682,212194,0,1090093
7080,"New Jersey Manufacturers Grp",1989,1996,8,204552,158944,23016,212876,682,212194,0,1090093
7080,"New Jersey Manufacturers Grp",1989,1997,9,204135,162903,21483,212876,682,212194,0,1090093
7080,"New Jersey Manufacturers Grp",1989,1998,10,204214,165596,19309,212876,682,212194,0,1090093
7080,"New Jersey Manufacturers Grp",1990,1990,1,198993,52058,84565,220447,651,219796,0,1090093
7080,"New Jersey Manufacturers Grp",1990,1991,2,215685,99517,47641,220447,651,219796,0,1090093
7080,"New Jersey Manufacturers Grp",1990,1992,3,226829,126876,34902,220447,651,219796,0,1090093
7080,"New Jersey Manufacturers Grp",1990,1993,4,228487,144792,32231,220447,651,219796,0,1090093
7080,"New Jersey Manufacturers Grp",1990,1994,5,225776,156240,31964,220447,651,219796,0,1090093
7080,"New Jersey Manufacturers Grp",1990,1995,6,226678,165086,31547,220447,651,219796,0,1090093
7080,"New Jersey Manufacturers Grp",1990,1996,7,228830,170955,34425,220447,651,219796,0,1090093
7080,"New Jersey Manufacturers Grp",1990,1997,8,228252,176346,31946,220447,651,219796,0,1090093
7080,"New Jersey Manufacturers Grp",1990,1998,9,226461,179831,29475,220447,651,219796,0,1090093
7080,"New Jersey Manufacturers Grp",1990,1999,10,219858,182686,21427,220447,651,219796,0,1090093
7080,"New Jersey Manufacturers Grp",1991,1991,1,237457,57251,97295,250254,659,249595,0,1090093
7080,"New Jersey Manufacturers Grp",1991,1992,2,245174,106761,58797,250254,659,249595,0,1090093
7080,"New Jersey Manufacturers Grp",1991,1993,3,247201,133797,41800,250254,659,249595,0,1090093
7080,"New Jersey Manufacturers Grp",1991,1994,4,247388,154668,36567,250254,659,249595,0,1090093
7080,"New Jersey Manufacturers Grp",1991,1995,5,245651,168972,31025,250254,659,249595,0,1090093
7080,"New Jersey Manufacturers Grp",1991,1996,6,249402,179524,34939,250254,659,249595,0,1090093
7080,"New Jersey Manufacturers Grp",1991,1997,7,251541,187266,36246,250254,659,249595,0,1090093
7080,"New Jersey Manufacturers Grp",1991,1998,8,250138,192657,32810,250254,659,249595,0,1090093
7080,"New Jersey Manufacturers Grp",1991,1999,9,242856,196436,23765,250254,659,249595,0,1090093
7080,"New Jersey Manufacturers Grp",1991,2000,10,242272,200098,19248,250254,659,249595,0,1090093
7080,"New Jersey Manufacturers Grp",1992,1992,1,256936,59213,94349,268980,687,268293,0,1090093
7080,"New Jersey Manufacturers Grp",1992,1993,2,272664,113342,66769,268980,687,268293,0,1090093
7080,"New Jersey Manufacturers Grp",1992,1994,3,272226,142908,50233,268980,687,268293,0,1090093
7080,"New Jersey Manufacturers Grp",1992,1995,4,266570,165392,39351,268980,687,268293,0,1090093
7080,"New Jersey Manufacturers Grp",1992,1996,5,263346,179506,34641,268980,687,268293,0,1090093
7080,"New Jersey Manufacturers Grp",1992,1997,6,263655,189506,35010,268980,687,268293,0,1090093
7080,"New Jersey Manufacturers Grp",1992,1998,7,263850,196590,34892,268980,687,268293,0,1090093
7080,"New Jersey Manufacturers Grp",1992,1999,8,256920,202289,27683,268980,687,268293,0,1090093
7080,"New Jersey Manufacturers Grp",1992,2000,9,257022,207155,24398,268980,687,268293,0,1090093
7080,"New Jersey Manufacturers Grp",1992,2001,10,253737,211324,16980,268980,687,268293,0,1090093
7080,"New Jersey Manufacturers Grp",1993,1993,1,273382,59475,105918,317533,807,316726,0,1090093
7080,"New Jersey Manufacturers Grp",1993,1994,2,273792,111551,76242,317533,807,316726,0,1090093
7080,"New Jersey Manufacturers Grp",1993,1995,3,266742,138387,48649,317533,807,316726,0,1090093
7080,"New Jersey Manufacturers Grp",1993,1996,4,259781,160719,39976,317533,807,316726,0,1090093
7080,"New Jersey Manufacturers Grp",1993,1997,5,261032,175475,41026,317533,807,316726,0,1090093
7080,"New Jersey Manufacturers Grp",1993,1998,6,260956,185621,39984,317533,807,316726,0,1090093
7080,"New Jersey Manufacturers Grp",1993,1999,7,253941,192959,32009,317533,807,316726,0,1090093
7080,"New Jersey Manufacturers Grp",1993,2000,8,250107,198230,29050,317533,807,316726,0,1090093
7080,"New Jersey Manufacturers Grp",1993,2001,9,247642,202370,23949,317533,807,316726,0,1090093
7080,"New Jersey Manufacturers Grp",1993,2002,10,245203,206314,20570,317533,807,316726,0,1090093
7080,"New Jersey Manufacturers Grp",1994,1994,1,311979,65607,134776,345154,867,344287,0,1090093
7080,"New Jersey Manufacturers Grp",1994,1995,2,290504,110255,91071,345154,867,344287,0,1090093
7080,"New Jersey Manufacturers Grp",1994,1996,3,264756,137317,51796,345154,867,344287,0,1090093
7080,"New Jersey Manufacturers Grp",1994,1997,4,263642,159972,50769,345154,867,344287,0,1090093
7080,"New Jersey Manufacturers Grp",1994,1998,5,262145,174820,48518,345154,867,344287,0,1090093
7080,"New Jersey Manufacturers Grp",1994,1999,6,259942,185680,48211,345154,867,344287,0,1090093
7080,"New Jersey Manufacturers Grp",1994,2000,7,256238,192435,41739,345154,867,344287,0,1090093
7080,"New Jersey Manufacturers Grp",1994,2001,8,253057,198420,36685,345154,867,344287,0,1090093
7080,"New Jersey Manufacturers Grp",1994,2002,9,247947,202286,30719,345154,867,344287,0,1090093
7080,"New Jersey Manufacturers Grp",1994,2003,10,245985,205971,25652,345154,867,344287,0,1090093
7080,"New Jersey Manufacturers Grp",1995,1995,1,288726,56748,127495,358036,1156,356880,0,1090093
7080,"New Jersey Manufacturers Grp",1995,1996,2,265868,96063,82646,358036,1156,356880,0,1090093
7080,"New Jersey Manufacturers Grp",1995,1997,3,255992,122811,59228,358036,1156,356880,0,1090093
7080,"New Jersey Manufacturers Grp",1995,1998,4,234873,142696,40907,358036,1156,356880,0,1090093
7080,"New Jersey Manufacturers Grp",1995,1999,5,231927,156279,40300,358036,1156,356880,0,1090093
7080,"New Jersey Manufacturers Grp",1995,2000,6,228409,164284,35499,358036,1156,356880,0,1090093
7080,"New Jersey Manufacturers Grp",1995,2001,7,226928,171811,31304,358036,1156,356880,0,1090093
7080,"New Jersey Manufacturers Grp",1995,2002,8,224732,177267,27305,358036,1156,356880,0,1090093
7080,"New Jersey Manufacturers Grp",1995,2003,9,221506,181106,20573,358036,1156,356880,0,1090093
7080,"New Jersey Manufacturers Grp",1995,2004,10,221001,185518,15916,358036,1156,356880,0,1090093
7080,"New Jersey Manufacturers Grp",1996,1996,1,258617,52212,110312,314672,1260,313412,0,1090093
7080,"New Jersey Manufacturers Grp",1996,1997,2,236631,92242,63001,314672,1260,313412,0,1090093
7080,"New Jersey Manufacturers Grp",1996,1998,3,238314,118485,58505,314672,1260,313412,0,1090093
7080,"New Jersey Manufacturers Grp",1996,1999,4,239228,137734,63325,314672,1260,313412,0,1090093
7080,"New Jersey Manufacturers Grp",1996,2000,5,231669,149575,52500,314672,1260,313412,0,1090093
7080,"New Jersey Manufacturers Grp",1996,2001,6,227225,159583,42308,314672,1260,313412,0,1090093
7080,"New Jersey Manufacturers Grp",1996,2002,7,225507,168453,36058,314672,1260,313412,0,1090093
7080,"New Jersey Manufacturers Grp",1996,2003,8,222372,174288,30547,314672,1260,313412,0,1090093
7080,"New Jersey Manufacturers Grp",1996,2004,9,216789,178976,20340,314672,1260,313412,0,1090093
7080,"New Jersey Manufacturers Grp",1996,2005,10,221639,183281,20866,314672,1260,313412,0,1090093
7080,"New Jersey Manufacturers Grp",1997,1997,1,216437,43962,95552,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,1998,2,202104,77007,66647,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,1999,3,212211,99457,72238,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,2000,4,202755,114615,57917,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,2001,5,194917,126485,44212,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,2002,6,190408,134249,36231,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,2003,7,186160,140671,29511,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,2004,8,179091,144865,19742,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,2005,9,183066,148577,21316,262329,1068,261261,0,1090093
7080,"New Jersey Manufacturers Grp",1997,2006,10,182479,151027,19948,262329,1068,261261,0,1090093
